publication_id,reference_id
W2067083952,W2111197100
W2067083952,W2116401686
W2067083952,W2122086994
W2067083952,W2138199375
W2067083952,W2138826098
W2067083952,W2139598342
W2067083952,W2149874318
W2067083952,W2153314286
W2067083952,W2158685692
W2067083952,W2160927393
W2067083952,W2547418339
W2067083952,W2582521406
W2067083952,W4255775921
W2067083952,W4285719527
W2067083952,W6607389891
W2091784785,W69009568
W2091784785,W355720666
W2091784785,W1497286318
W2091784785,W1499933681
W2091784785,W1509968902
W2091784785,W1535517383
W2091784785,W1537061039
W2091784785,W1538807643
W2091784785,W1557496348
W2091784785,W1557758102
W2091784785,W1575829986
W2091784785,W1593337933
W2091784785,W1600895443
W2091784785,W1789658284
W2091784785,W1950736173
W2091784785,W1969442075
W2091784785,W1975536073
W2091784785,W1980561265
W2091784785,W1984709364
W2091784785,W1986061707
W2091784785,W1989771497
W2091784785,W1992556332
W2091784785,W1993037197
W2091784785,W1996970545
W2091784785,W1999053831
W2091784785,W1999155183
W2091784785,W1999463728
W2091784785,W2002556711
W2091784785,W2002893522
W2091784785,W2006128682
W2091784785,W2006684178
W2091784785,W2012815986
W2091784785,W2013020033
W2091784785,W2015689462
W2091784785,W2023108246
W2091784785,W2031344788
W2091784785,W2037001540
W2091784785,W2038458742
W2091784785,W2048585878
W2091784785,W2056919333
W2091784785,W2063252428
W2091784785,W2067736313
W2091784785,W2069808208
W2091784785,W2072943580
W2091784785,W2075586101
W2091784785,W2079676018
W2091784785,W2085630147
W2091784785,W2090260539
W2091784785,W2093616040
W2091784785,W2094261607
W2091784785,W2096362956
W2091784785,W2102425854
W2091784785,W2103604870
W2091784785,W2103869314
W2091784785,W2104166306
W2091784785,W2111197100
W2091784785,W2119480063
W2091784785,W2137526265
W2091784785,W2137637975
W2091784785,W2138269563
W2091784785,W2153314286
W2091784785,W2155635068
W2091784785,W2157130619
W2091784785,W2195160770
W2091784785,W2257861854
W2091784785,W2284487033
W2091784785,W2317919972
W2091784785,W2320561248
W2091784785,W2415282395
W2091784785,W2463352670
W2091784785,W2477436243
W2091784785,W2504258391
W2091784785,W2514745754
W2091784785,W2590067598
W2091784785,W2601346836
W2091784785,W2616924292
W2091784785,W2783254024
W2091784785,W2943262529
W2091784785,W3021516576
W2091784785,W3117910667
W2091784785,W4205810926
W2091784785,W4232336823
W2091784785,W4235182342
W2091784785,W4235949766
W2091784785,W4236590056
W2091784785,W4238387768
W2091784785,W4247762189
W2091784785,W4249707561
W2091784785,W4256399001
W2091784785,W4295677041
W2888763178,W128668254
W2888763178,W175221127
W2888763178,W226298521
W2888763178,W240887194
W2888763178,W257219311
W2888763178,W341524467
W2888763178,W624776146
W2888763178,W635932787
W2888763178,W642014537
W2888763178,W1112772565
W2888763178,W1499933681
W2888763178,W1540810403
W2888763178,W1677067970
W2888763178,W1973954164
W2888763178,W1975670699
W2888763178,W1976708668
W2888763178,W1978211375
W2888763178,W1980474025
W2888763178,W1981253922
W2888763178,W1989776343
W2888763178,W2010585816
W2888763178,W2011227246
W2888763178,W2011472726
W2888763178,W2017312295
W2888763178,W2018934112
W2888763178,W2031470047
W2888763178,W2035566391
W2888763178,W2036979803
W2888763178,W2064631110
W2888763178,W2072178097
W2888763178,W2074388051
W2888763178,W2077092346
W2888763178,W2098331777
W2888763178,W2114894207
W2888763178,W2117678092
W2888763178,W2122145490
W2888763178,W2128769367
W2888763178,W2130912043
W2888763178,W2133797163
W2888763178,W2160677038
W2888763178,W2171689869
W2888763178,W2268353404
W2888763178,W2412647359
W2888763178,W2516440319
W2888763178,W2626282241
W2888763178,W2740728532
W2888763178,W2746479660
W2888763178,W2754758112
W2888763178,W2793380310
W2888763178,W2936428206
W2888763178,W3147429590
W2888763178,W4249959789
W2888763178,W6608985923
W2888763178,W6630002413
W2888763178,W6637432672
W2888763178,W6693743359
W2888763178,W6726211223
W2045094646,W1522070413
W2045094646,W1558886546
W2045094646,W1596196963
W2045094646,W1964538581
W2045094646,W1978122678
W2045094646,W2037001540
W2045094646,W2417195499
W2045094646,W2912596165
W2045094646,W3094134784
W2045094646,W4256399001
W2045094646,W4285719527
W2045094646,W6631197461
W2061023211,W97204656
W2061023211,W1497286318
W2061023211,W1967708376
W2061023211,W1998504754
W2061023211,W2021253786
W2061023211,W2025882044
W2061023211,W2042400458
W2061023211,W2046552246
W2061023211,W2050920375
W2061023211,W2052216394
W2061023211,W2072248257
W2061023211,W2081598496
W2061023211,W2083974562
W2061023211,W2102757824
W2061023211,W2106042522
W2061023211,W2117812870
W2061023211,W2138098672
W2061023211,W2571357613
W2061023211,W2598208772
W2061023211,W2912486863
W2061023211,W4249571385
W2061023211,W4288632021
W2061023211,W4320578731
W1520666785,W1537424868
W1520666785,W1557554459
W1520666785,W1561096916
W1520666785,W1566284973
W1520666785,W1581848821
W1520666785,W1876557575
W1520666785,W1919435019
W1520666785,W1971641362
W1520666785,W1996721809
W1520666785,W2007894891
W1520666785,W2027561586
W1520666785,W2041594004
W1520666785,W2132087580
W1520666785,W4213129550
W2147923073,W2467931
W2147923073,W95380988
W2147923073,W905161410
W2147923073,W1535577589
W2147923073,W1549233284
W2147923073,W1560946882
W2147923073,W1581848821
W2147923073,W1607764848
W2147923073,W1651701101
W2147923073,W1772029117
W2147923073,W1829791296
W2147923073,W1985360558
W2147923073,W1989016101
W2147923073,W1996225046
W2147923073,W2015707156
W2147923073,W2031312187
